ID	DOCULECT	CONCEPT	GLOTTOCODE	CONCEPTICON_ID	VALUE	FORM	TOKENS	VARIANTS	SOURCE	COGID	LOAN	COGNACY
3674	Penrhyn_235	One Hundred	penr1237	1634	rau	rau	r a u		POLLEX	486	False	2
4102	Mangareva_239	One Hundred	mang1401	1634	rau	rau	r a u	rau	POLLEX	486	False	2
4585	Tuamotuan_246	One Hundred	tuam1242	1634	rau	rau	r a u		POLLEX	486	False	2
5582	Rapanui_264	One Hundred	rapa1244	1634	rau	rau	r a u		POLLEX	486	False	2
294	Hawaiian_52	One Thousand	hawa1245	1843	kaukani	kaukani	k a u k a n i		71458	180	True	11
530	Rarotongan_58	One Thousand	raro1241	1843	tauatini	tauatini	t a u a t i n i	tavatini	POLLEX	180	True	11
531	Rarotongan_58	One Thousand	raro1241	1843	mano	mano	m a n o		POLLEX	487	False	2
836	Maori_85	One Thousand	maor1246	1843	mano	mano	m a n o		Biggs-85-2005	487	False	2
1357	Austral_128	One Thousand	aust1304	1843	tauatini	tauatini	t a u a t i n i		Meyer-128-2005	180	True	11
2657	Tahitian_173	One Thousand	tahi1242	1843	tauatini	tauatini	t a u a t i n i		Clark-173-2005	180	True	11
2658	Tahitian_173	One Thousand	tahi1242	1843	mano	mano	m a n o		Clark-173-2005	487	False	2
4101	Mangareva_239	One Thousand	mang1401	1843	mano	mano	m a n o	mano	POLLEX	487	False	2
4584	Tuamotuan_246	One Thousand	tuam1242	1843	mano	mano	m a n o		POLLEX	487	False	2
5580	Rapanui_264	One Thousand	rapa1244	1843	piere	piere	p i e r e		POLLEX	955	False	
5581	Rapanui_264	One Thousand	rapa1244	1843	mano	mano	m a n o		POLLEX	487	False	2
7	NorthMarquesan_38	Seven	nort2845	1704	fitu	fitu	f i t u		POLLEX	5	False	1
302	Hawaiian_52	Seven	hawa1245	1704	hiku	hiku	h i k u		71458	5	False	1
538	Rarotongan_58	Seven	raro1241	1704	itu	itu	i t u	'itu	POLLEX	5	False	1
844	Maori_85	Seven	maor1246	1704	whitu	fitu	f i t u		Biggs-85-2005	5	False	1
1364	Austral_128	Seven	aust1304	1704	ʔitu	ʔitu	ʔ i t u		Meyer-128-2005	5	False	1
2666	Tahitian_173	Seven	tahi1242	1704	hitu	hitu	h i t u		Clark-173-2005	5	False	1
3678	Penrhyn_235	Seven	penr1237	1704	hitu	hitu	h i t u		POLLEX	5	False	1
4108	Mangareva_239	Seven	mang1401	1704	'itu	'itu	ʔ i t u	'itu	POLLEX	5	False	1
4589	Tuamotuan_246	Seven	tuam1242	1704	hitu	hitu	h i t u		POLLEX	5	False	1
5587	Rapanui_264	Seven	rapa1244	1704	hitu	hitu	h i t u		POLLEX	5	False	1
8	NorthMarquesan_38	Six	nort2845	1703	ono	ono	o n o		POLLEX	6	False	1
303	Hawaiian_52	Six	hawa1245	1703	'eono	'eono	ʔ e o n o		71458	6	False	1
539	Rarotongan_58	Six	raro1241	1703	ono	ono	o n o		POLLEX	6	False	1
845	Maori_85	Six	maor1246	1703	ono	ono	o n o		Biggs-85-2005	6	False	1
1365	Austral_128	Six	aust1304	1703	ono	ono	o n o		Meyer-128-2005	6	False	1
2667	Tahitian_173	Six	tahi1242	1703	ono	ono	o n o		Clark-173-2005	6	False	1
3679	Penrhyn_235	Six	penr1237	1703	ono	ono	o n o		POLLEX	6	False	1
4109	Mangareva_239	Six	mang1401	1703	ono	ono	o n o		POLLEX	6	False	1
4590	Tuamotuan_246	Six	tuam1242	1703	fene	fene	f e n e		POLLEX	559	False	25
5588	Rapanui_264	Six	rapa1244	1703	ono	ono	o n o		POLLEX	6	False	1
3	NorthMarquesan_38	Ten	nort2845	1515	'okohu'u	'okohu'u	ʔ o k o h u ʔ u		POLLEX	898	False	5,32?
4	NorthMarquesan_38	Ten	nort2845	1515	'onohu'u	'onohu'u	ʔ o n o h u ʔ u		POLLEX	898	False	5,32
298	Hawaiian_52	Ten	hawa1245	1515	'umi	'umi	ʔ u m i		71458	1463	False	x
299	Hawaiian_52	Ten	hawa1245	1515	anahulu	anahulu	a n a h u l u		71458	898	False	5
535	Rarotongan_58	Ten	raro1241	1515	nga'uru	nga'uru	ŋ a ʔ u r u		POLLEX	898	False	5
840	Maori_85	Ten	maor1246	1515	tekau	tekau	t e k a u		Biggs-85-2005	644	False	30?
841	Maori_85	Ten	maor1246	1515	hangahuru	hangahuru	h a ŋ a h u r u	ngahuru	Biggs-85-2005	898	False	5
1361	Austral_128	Ten	aust1304	1515	ʔaʔuru	ʔaʔuru	ʔ a ʔ u r u		Meyer-128-2005	898	True	5
2663	Tahitian_173	Ten	tahi1242	1515	'ahuru	'ahuru	ʔ a h u r u	'ahuru // 'afulu	Clark-173-2005	898	False	5
3675	Penrhyn_235	Ten	penr1237	1515	ngahuru	ngahuru	ŋ a h u r u		POLLEX	898	False	5
4105	Mangareva_239	Ten	mang1401	1515	rongo'uru	rongo'uru	r o ŋ o ʔ u r u		POLLEX	898	False	5,32
4586	Tuamotuan_246	Ten	tuam1242	1515	ŋahuru	ŋahuru	ŋ a h u r u		POLLEX	898	False	5
5583	Rapanui_264	Ten	rapa1244	1515	kauatu	kauatu	k a u a t u		POLLEX	644	False	30?
5584	Rapanui_264	Ten	rapa1244	1515	aŋahuru	aŋahuru	a ŋ a h u r u		POLLEX	898	False	5
11	NorthMarquesan_38	Three	nort2845	492	to'u	to'u	t o ʔ u		POLLEX	7	False	1
306	Hawaiian_52	Three	hawa1245	492	kolu	kolu	k o l u		71458	7	False	1
542	Rarotongan_58	Three	raro1241	492	toru	toru	t o r u		POLLEX	7	False	1
848	Maori_85	Three	maor1246	492	toru	toru	t o r u		Biggs-85-2005	7	False	1
1368	Austral_128	Three	aust1304	492	toru	toru	t o r u		Meyer-128-2005	7	False	1
2671	Tahitian_173	Three	tahi1242	492	toru	toru	t o r u		Clark-173-2005	7	False	1
3682	Penrhyn_235	Three	penr1237	492	toru	toru	t o r u		POLLEX	7	False	1
4112	Mangareva_239	Three	mang1401	492	toru	toru	t o r u	toru	POLLEX	7	False	1
4593	Tuamotuan_246	Three	tuam1242	492	toru	toru	t o r u		POLLEX	7	False	1
5591	Rapanui_264	Three	rapa1244	492	toru	toru	t o r u		POLLEX	7	False	1
2	NorthMarquesan_38	Twenty	nort2845	1710	tekau	tekau	t e k a u		POLLEX	744	False	4
297	Hawaiian_52	Twenty	hawa1245	1710	iwakālua	iwakālua	i w a k aː l u a		71458	899	False	5
534	Rarotongan_58	Twenty	raro1241	1710	rua ngauru-	rua ngauru-	r u a _ ŋ a u r u		POLLEX	620	False	3,6
839	Maori_85	Twenty	maor1246	1710	rua tekau	rua tekau	r u a _ t e k a u		Biggs-85-2005	620	False	3,4
1360	Austral_128	Twenty	aust1304	1710	piti ʔaʔuru	piti ʔaʔuru	p i t i _ ʔ a ʔ u r u		Meyer-128-2005	598	True	28,6
2661	Tahitian_173	Twenty	tahi1242	1710	piti 'ahuru	piti 'ahuru	p i t i _ ʔ a h u r u		Clark-173-2005	598	False	28,6
2662	Tahitian_173	Twenty	tahi1242	1710	ta'au	ta'au	t a ʔ a u		Clark-173-2005	744	False	4
4104	Mangareva_239	Twenty	mang1401	1710	takau	takau	t a k a u		POLLEX	744	False	4
12	NorthMarquesan_38	Two	nort2845	1498	'ua	'ua	ʔ u a		POLLEX	8	False	1
307	Hawaiian_52	Two	hawa1245	1498	lua	lua	l u a		71458	8	False	1
543	Rarotongan_58	Two	raro1241	1498	rua	rua	r u a		POLLEX	8	False	1
849	Maori_85	Two	maor1246	1498	rua	rua	r u a		Biggs-85-2005	8	False	1
1369	Austral_128	Two	aust1304	1498	rua	rua	r u a		Meyer-128-2005	8	False	1
1370	Austral_128	Two	aust1304	1498	piti	piti	p i t i		Meyer-128-2005	745	True	4
2672	Tahitian_173	Two	tahi1242	1498	piti	piti	p i t i		Clark-173-2005	745	False	4
3683	Penrhyn_235	Two	penr1237	1498	rua	rua	r u a		POLLEX	8	False	1
4113	Mangareva_239	Two	mang1401	1498	rua	rua	r u a	rua	POLLEX	8	False	1
4594	Tuamotuan_246	Two	tuam1242	1498	rua	rua	r u a		POLLEX	8	False	1
5592	Rapanui_264	Two	rapa1244	1498	rua	rua	r u a		POLLEX	8	False	1
41	NorthMarquesan_38	above	nort2845	1741	'una	'una	ʔ u n a	'uka	POLLEX	1385	False	9
337	Hawaiian_52	above	hawa1245	1741	i luna	i luna	i _ l u n a		71458	1385	False	9
573	Rarotongan_58	above	raro1241	1741	runga	runga	r u ŋ a		POLLEX	1385	False	9
879	Maori_85	above	maor1246	1741	i runga	i runga	i _ r u ŋ a		Biggs-85-2005	1385	False	9
1401	Austral_128	above	aust1304	1741	nuʔa	nuʔa	n u ʔ a		Meyer-128-2005	1385	False	9
2702	Tahitian_173	above	tahi1242	1741	ni'a	ni'a	n i ʔ a		Clark-173-2005	1385	False	9
3700	Penrhyn_235	above	penr1237	1741	runga	runga	r u ŋ a		POLLEX	1385	False	9
4137	Mangareva_239	above	mang1401	1741	runga	runga	r u ŋ a	ruga	POLLEX	1385	False	9
4613	Tuamotuan_246	above	tuam1242	1741	ruŋa	ruŋa	r u ŋ a		POLLEX	1385	False	9
5621	Rapanui_264	above	rapa1244	1741	ruga	ruga	r u g a	ruŋa	POLLEX	1385	False	9
20	NorthMarquesan_38	all	nort2845	98	tiatohu	tiatohu	t i a t o h u		POLLEX	506	False	
314	Hawaiian_52	all	hawa1245	98	apau	apau	a p a u		71458	1025	False	59?
552	Rarotongan_58	all	raro1241	98	katoa	katoa	k a t o a		POLLEX	281	False	13
857	Maori_85	all	maor1246	98	katoa	katoa	k a t o a		Biggs-85-2005	281	False	13
1378	Austral_128	all	aust1304	98	paaʔaatoʔa	paaʔaatoʔa	p aː ʔ aː t o ʔ a	atoʔa	Meyer-128-2005	281	False	13
2680	Tahitian_173	all	tahi1242	98	ato'a	ato'a	a t o ʔ a		Clark-173-2005	281	False	13
3689	Penrhyn_235	all	penr1237	98	katoa	katoa	k a t o a		POLLEX	281	False	13
4119	Mangareva_239	all	mang1401	98	kouroa	kouroa	k o u r o a		POLLEX	774	False	
4597	Tuamotuan_246	all	tuam1242	98	katoŋa	katoŋa	k a t o ŋ a		POLLEX	281	False	13
5603	Rapanui_264	all	rapa1244	98	tahi	tahi	t a h i		POLLEX	962	False	
19	NorthMarquesan_38	and	nort2845	1577	maa	maa	m aː		POLLEX	488	False	2
313	Hawaiian_52	and	hawa1245	1577	a me	a me	a _ m e	a	71458	488	False	2
551	Rarotongan_58	and	raro1241	1577	maa	maa	m aː		POLLEX	488	False	2
855	Maori_85	and	maor1246	1577	hoki	hoki	h o k i		Biggs-85-2005	1361	False	
856	Maori_85	and	maor1246	1577	me	me	m e		Biggs-85-2005	488	False	2, 46
1377	Austral_128	and	aust1304	1577	ʔee	ʔee	ʔ eː		Meyer-128-2005	1312	False	8
2679	Tahitian_173	and	tahi1242	1577	'ee	'ee	ʔ eː		Clark-173-2005	1312	False	8
3688	Penrhyn_235	and	penr1237	1577	ma(a)	ma	m a		POLLEX	488	False	2
4118	Mangareva_239	and	mang1401	1577	e	e	e		POLLEX	1312	False	8
5599	Rapanui_264	and	rapa1244	1577	piri	piri	p i r i		POLLEX	957	False	
5600	Rapanui_264	and	rapa1244	1577	pe	pe	p e		POLLEX	558	False	24?
5601	Rapanui_264	and	rapa1244	1577	ma	ma	m a	me	POLLEX	488	False	2
5602	Rapanui_264	and	rapa1244	1577	e	e	e		POLLEX	1312	False	8
91	NorthMarquesan_38	ash	nort2845	646	ke/'ehu/	'ehu	ʔ e h u	ke/'ehu/ // kehu/ahi // kehu/ahi // 'ehu/ahi // 'ehu/ahi // kaàhu // ànahu	POLLEX	1139	False	67
369	Hawaiian_52	ash	hawa1245	646	lehu	lehu	l e h u		71458	1139	False	67
619	Rarotongan_58	ash	raro1241	646	rèu	rèu	r ʔ e u		POLLEX	1139	False	67
911	Maori_85	ash	maor1246	646	pungarehu	pungarehu	p u ŋ a r e h u		Biggs-85-2005	1139	False	67
1436	Austral_128	ash	aust1304	646	reʔu	reʔu	r e ʔ u		Meyer-128-2005	1139	False	67
2734	Tahitian_173	ash	tahi1242	646	rehu	rehu	r e h u		Clark-173-2005	1139	False	67
3732	Penrhyn_235	ash	penr1237	646	rehu	rehu	r e h u		POLLEX	1139	False	67
4175	Mangareva_239	ash	mang1401	646	ngara'u	ngara'u	ŋ a r a ʔ u		POLLEX	9	False	1,60
4176	Mangareva_239	ash	mang1401	646	e'u	e'u	e ʔ u		POLLEX	1139	False	67
4648	Tuamotuan_246	ash	tuam1242	646	rehu	rehu	r e h u		POLLEX	1139	False	67
5661	Rapanui_264	ash	rapa1244	646	éoéo	éoéo	ʔ e o ʔ e o		POLLEX	1139	False	67
44	NorthMarquesan_38	at	nort2845	1461	i	i	i		POLLEX	10	False	1
340	Hawaiian_52	at	hawa1245	1461	i	i	i		71458	10	False	1
341	Hawaiian_52	at	hawa1245	1461	ma	ma	m a		71458	673	False	
575	Rarotongan_58	at	raro1241	1461	tei	tei	t e i		POLLEX	900	False	5
576	Rarotongan_58	at	raro1241	1461	i	i	i		POLLEX	10	False	1
881	Maori_85	at	maor1246	1461	hei	hei	h e i	kei	Biggs-85-2005	900	False	5
882	Maori_85	at	maor1246	1461	i	i	i		Biggs-85-2005	10	False	1
1403	Austral_128	at	aust1304	1461	i	i	i		Meyer-128-2005	10	False	1
2704	Tahitian_173	at	tahi1242	1461	i	i	i		Clark-173-2005	10	False	1
3701	Penrhyn_235	at	penr1237	1461	i	i	i		POLLEX	10	False	1
4139	Mangareva_239	at	mang1401	1461	i/ki	ki	k i	i/ki // i	POLLEX	10	False	1
4615	Tuamotuan_246	at	tuam1242	1461	tei	tei	t e i		POLLEX	900	False	5
4616	Tuamotuan_246	at	tuam1242	1461	i	i	i		POLLEX	10	False	1
5624	Rapanui_264	at	rapa1244	1461	i	i	i		POLLEX	10	False	1
278	NorthMarquesan_38	back	nort2845	1291	tua	tua	t u a		POLLEX	181	False	11
515	Hawaiian_52	back	hawa1245	1291	kua	kua	k u a		71458	181	False	11
818	Rarotongan_58	back	raro1241	1291	mokotua	mokotua	m o k o t u a		POLLEX	162	False	100, 11
1049	Maori_85	back	maor1246	1291	tuaraa	tuaraa	t u a r aː		Biggs-85-2005	181	False	11
1602	Austral_128	back	aust1304	1291	tautua	tautua	t a u t u a		Meyer-128-2005	181	False	11
2878	Tahitian_173	back	tahi1242	1291	tua	tua	t u a		Clark-173-2005	181	False	11
3867	Penrhyn_235	back	penr1237	1291	sope	sope	s o p e		POLLEX	731	False	
4349	Mangareva_239	back	mang1401	1291	tua	tua	t u a		POLLEX	181	False	11
4831	Tuamotuan_246	back	tuam1242	1291	papatua	papatua	p a p a t u a		POLLEX	181	False	11
5820	Rapanui_264	back	rapa1244	1291	tu'a ivi	tu'a ivi	t u ʔ a _ i v i	tuaivi	POLLEX	181	False	11
56	NorthMarquesan_38	bad, evil	nort2845	1292	hauhau	hauhau	h a u h a u		POLLEX	652	False	32
57	NorthMarquesan_38	bad, evil	nort2845	1292	ìno	ìno	ʔ i n o	kino	POLLEX	1387	False	9
349	Hawaiian_52	bad, evil	hawa1245	1292	'ino	'ino	ʔ i n o		71458	1387	False	9
585	Rarotongan_58	bad, evil	raro1241	1292	kino	kino	k i n o		POLLEX	1387	False	9
891	Maori_85	bad, evil	maor1246	1292	kino	kino	k i n o		Biggs-85-2005	1387	False	9
1414	Austral_128	bad, evil	aust1304	1292	manuenu	manuenu	m a n u e n u		Meyer-128-2005	348	False	
1415	Austral_128	bad, evil	aust1304	1292	ʔino	ʔino	ʔ i n o		Meyer-128-2005	1387	False	9
2713	Tahitian_173	bad, evil	tahi1242	1292	'ino	'ino	ʔ i n o		Clark-173-2005	1387	False	9
3709	Penrhyn_235	bad, evil	penr1237	1292	kino	kino	k i n o		POLLEX	1387	False	9
4150	Mangareva_239	bad, evil	mang1401	1292	kino	kino	k i n o		POLLEX	1387	False	9
4624	Tuamotuan_246	bad, evil	tuam1242	1292	kiro	kiro	k i r o	kino	POLLEX	1387	False	9
5633	Rapanui_264	bad, evil	rapa1244	1292	kino	kino	k i n o		POLLEX	1387	False	9
277	NorthMarquesan_38	belly	nort2845	1251	'opu	'opu	ʔ o p u	kopu	POLLEX	489	False	2
514	Hawaiian_52	belly	hawa1245	1251	'ōpū	'ōpū	ʔ oː p uː		71458	489	False	2
815	Rarotongan_58	belly	raro1241	1251	manava	manava	m a n a v a		POLLEX	1388	False	9
816	Rarotongan_58	belly	raro1241	1251	koopuu	koopuu	k oː p uː		POLLEX	489	False	2
817	Rarotongan_58	belly	raro1241	1251	kona	kona	k o n a		POLLEX	1313	False	8
1048	Maori_85	belly	maor1246	1251	puku	puku	p u k u		Biggs-85-2005	168	False	
1601	Austral_128	belly	aust1304	1251	ʔoopuu	ʔoopuu	ʔ oː p uː		Meyer-128-2005	489	False	2
2877	Tahitian_173	belly	tahi1242	1251	'oopuu	'oopuu	ʔ oː p uː		Clark-173-2005	489	False	2
3864	Penrhyn_235	belly	penr1237	1251	manava	manava	m a n a v a		POLLEX	1388	False	9
3865	Penrhyn_235	belly	penr1237	1251	koopuu	koopuu	k oː p uː		POLLEX	489	False	2
3866	Penrhyn_235	belly	penr1237	1251	kona	kona	k o n a		POLLEX	1313	False	8
4346	Mangareva_239	belly	mang1401	1251	kōpū	kōpū	k oː p uː	koopuu	POLLEX	489	False	2
4347	Mangareva_239	belly	mang1401	1251	manava	manava	m a n a v a		POLLEX	1388	False	9
4348	Mangareva_239	belly	mang1401	1251	kona	kona	k o n a		POLLEX	1313	False	8
4827	Tuamotuan_246	belly	tuam1242	1251	tia	tia	t i a		POLLEX	12	False	1
4828	Tuamotuan_246	belly	tuam1242	1251	manava	manava	m a n a v a		POLLEX	1388	False	9
4829	Tuamotuan_246	belly	tuam1242	1251	koopuu	koopuu	k oː p uː		POLLEX	489	False	2
4830	Tuamotuan_246	belly	tuam1242	1251	kona	kona	k o n a		POLLEX	1313	False	8
5818	Rapanui_264	belly	rapa1244	1251	manava	manava	m a n a v a	manaba	POLLEX	1388	False	9
5819	Rapanui_264	belly	rapa1244	1251	kopu	kopu	k o p u		POLLEX	489	False	2
40	NorthMarquesan_38	below	nort2845	1485	à'o	à'o	ʔ a ʔ o		POLLEX	1314	False	8
336	Hawaiian_52	below	hawa1245	1485	lalo	lalo	l a l o		71458	1314	False	8
572	Rarotongan_58	below	raro1241	1485	raro	raro	r a r o		POLLEX	1314	False	8
878	Maori_85	below	maor1246	1485	i raro	i raro	i _ r a r o		Biggs-85-2005	1314	False	8
1400	Austral_128	below	aust1304	1485	raro	raro	r a r o		Meyer-128-2005	1314	False	8
2701	Tahitian_173	below	tahi1242	1485	raro	raro	r a r o		Clark-173-2005	1314	False	8
4136	Mangareva_239	below	mang1401	1485	raro	raro	r a r o	raro // raro	POLLEX	1314	False	8
4612	Tuamotuan_246	below	tuam1242	1485	raro	raro	r a r o		POLLEX	1314	False	8
5620	Rapanui_264	below	rapa1244	1485	raro	raro	r a r o		POLLEX	1314	False	8
76	NorthMarquesan_38	big	nort2845	1202	maaka	maaka	m aː k a		POLLEX	646	False	31
77	NorthMarquesan_38	big	nort2845	1202	nui	nui	n u i		POLLEX	182	False	11
361	Hawaiian_52	big	hawa1245	1202	nui	nui	n u i		71458	182	False	11
604	Rarotongan_58	big	raro1241	1202	ma'atama'ata	ma'atama'ata	m a ʔ a t a m a ʔ a t a	ma'ata // āma'atama'ata // ākā	POLLEX	646	False	31
605	Rarotongan_58	big	raro1241	1202	katakata	katakata	k a t a k a t a	ngao	POLLEX	1068	False	
